name,teamID
Anaheim Angels,ANA
Arizona Diamondbacks,ARI
Atlanta Braves,ATL
Baltimore Orioles,BAL
Boston Braves,BSN
Boston Red Sox,BOS
Brooklyn Dodgers,BRO
California Angels,CAL
Chicago Cubs,CHN
Chicago White Sox,CHA
Cincinnati Redlegs,CIN
Cincinnati Reds,CIN
Cleveland Indians,CLE
Colorado Rockies,COL
Detroit Tigers,DET
Florida Marlins,FLO
Houston Astros,HOU
Houston Colt .45's,HOU
Kansas City Athletics,KC1
Kansas City Royals,KCA
Los Angeles Angels,LAA
Los Angeles Angels of Anaheim,LAA
Los Angeles Dodgers,LAN
Miami Marlins,MIA
Milwaukee Braves,ML1
Milwaukee Brewers,ML4
Minnesota Twins,MIN
Montreal Expos,MON
New York Giants,NY1
New York Mets,NYN
New York Yankees,NYA
Oakland Athletics,OAK
Philadelphia Athletics,PHA
Philadelphia Phillies,PHI
Pittsburgh Pirates,PIT
San Diego Padres,SDN
San Francisco Giants,SFN
Seattle Mariners,SEA
Seattle Pilots,SE1
St. Louis Browns,SLA
St. Louis Cardinals,SLN
Tampa Bay Devil Rays,TBA
Tampa Bay Rays,TBA
Texas Rangers,TEX
Toronto Blue Jays,TOR
Washington Nationals,WAS
Washington Senators,WS1
