name,teamID,lgID,divID,Park,yearID,SUM(G),SUM(W),SUM(L),SUM(R),SUM(RA),PredictedWin,WError,Wpct,WpctExp,PctError
New York Mets,NYN,NL,E,Shea Stadium,1993,162,59,103,672,744,72.784,-13.784,0.3642,0.4493,-0.0851
Pittsburgh Pirates,PIT,NL,E,Three Rivers Stadium,1986,162,64,98,663,700,76.6056,-12.6056,0.3951,0.4729,-0.0778
Pittsburgh Pirates,PIT,NL,E,Three Rivers Stadium,1984,162,75,87,615,567,87.5678,-12.5678,0.463,0.5405,-0.0776
Baltimore Orioles,BAL,AL,NA,Memorial Stadium,1967,161,76,85,654,592,88.4914,-12.4914,0.472,0.5496,-0.0776
Oakland Athletics,OAK,AL,W,O.co Coliseum,2014,162,88,74,729,572,100.269,-12.269,0.5432,0.6189,-0.0757
Baltimore Orioles,BAL,AL,E,Memorial Stadium,1972,154,80,74,519,430,91.3167,-11.3167,0.5195,0.593,-0.0735
Cleveland Indians,CLE,AL,C,Jacobs Field,2006,162,78,84,870,782,89.6051,-11.6051,0.4815,0.5531,-0.0716
Houston Astros,HOU,NL,W,Astrodome,1975,162,64,97,664,711,75.469,-11.469,0.3951,0.4659,-0.0708
Detroit Tigers,DET,AL,NA,Briggs Stadium,1955,154,79,75,775,658,89.4904,-10.4904,0.513,0.5811,-0.0681
Chicago Cubs,CHN,NL,E,Wrigley Field,1970,162,84,78,806,679,94.7539,-10.7539,0.5185,0.5849,-0.0664
Cincinnati Redlegs,CIN,NL,NA,Crosley Field,1955,154,75,79,761,684,85.183,-10.183,0.487,0.5531,-0.0661
Kansas City Royals,KCA,AL,C,Kauffman Stadium,1999,161,64,97,856,921,74.6187,-10.6187,0.3975,0.4635,-0.066
San Francisco Giants,SFN,NL,W,Candlestick Park,1972,155,69,86,662,649,79.0368,-10.0368,0.4452,0.5099,-0.0648
Cincinnati Redlegs,CIN,NL,NA,Crosley Field,1958,154,76,78,695,621,85.6323,-9.6323,0.4935,0.5561,-0.0625
St. Louis Cardinals,SLN,NL,E,Busch Stadium II,1980,162,74,88,738,710,84.1314,-10.1314,0.4568,0.5193,-0.0625
Houston Astros,HOU,NL,C,Astrodome,1997,162,84,78,777,660,94.1031,-10.1031,0.5185,0.5809,-0.0624
New York Giants,NY1,NL,NA,Polo Grounds IV,1953,155,70,84,768,747,79.6481,-9.6481,0.4516,0.5139,-0.0622
New York Yankees,NYA,AL,NA,Yankee Stadium I,1966,160,70,89,611,612,79.8692,-9.8692,0.4375,0.4992,-0.0617
California Angels,CAL,AL,W,Anaheim Stadium,1981,110,51,59,476,453,57.7217,-6.7217,0.4636,0.5247,-0.0611
St. Louis Cardinals,SLN,NL,NA,Sportsman's Park IV,1962,163,84,78,774,664,93.8962,-9.8962,0.5153,0.5761,-0.0607
San Diego Padres,SDN,NL,W,Jack Murphy Stadium,1993,162,61,101,679,772,70.6593,-9.6593,0.3765,0.4362,-0.0596
Colorado Rockies,COL,NL,W,Coors Field,2001,162,73,89,923,906,82.5056,-9.5056,0.4506,0.5093,-0.0587
Minnesota Twins,MIN,AL,NA,Metropolitan Stadium,1964,163,79,83,737,678,88.2847,-9.2847,0.4847,0.5416,-0.057
Washington Senators,WS1,AL,NA,Griffith Stadium I,1953,152,76,76,687,614,84.5021,-8.5021,0.5,0.5559,-0.0559
Boston Red Sox,BOS,AL,E,Fenway Park II,1985,163,81,81,800,720,90.0552,-9.0552,0.4969,0.5525,-0.0556
Milwaukee Brewers,ML4,AL,E,County Stadium,1980,162,86,76,811,682,94.8936,-8.8936,0.5309,0.5858,-0.0549
Pittsburgh Pirates,PIT,NL,NA,Forbes Field,1968,163,80,82,583,532,88.94,-8.94,0.4908,0.5456,-0.0548
Baltimore Orioles,BAL,AL,E,Oriole Park at Camden Yards,1995,144,71,73,704,640,78.8416,-7.8416,0.4931,0.5475,-0.0545
Oakland Athletics,OAK,AL,W,Oakland Coliseum,1974,162,90,72,689,551,98.8085,-8.8085,0.5556,0.6099,-0.0544
Toronto Blue Jays,TOR,AL,E,Rogers Centre,2009,162,75,87,798,771,83.7869,-8.7869,0.463,0.5172,-0.0542
New York Yankees,NYA,AL,E,Shea Stadium,1975,160,83,77,681,588,91.6631,-8.6631,0.5188,0.5729,-0.0541
Philadelphia Phillies,PHI,NL,E,Veterans Stadium,1994,115,54,61,521,497,60.2097,-6.2097,0.4696,0.5236,-0.054
Houston Astros,HOU,NL,W,Astrodome,1984,162,80,82,693,630,88.6968,-8.6968,0.4938,0.5475,-0.0537
Minnesota Twins,MIN,AL,NA,Metropolitan Stadium,1963,161,91,70,767,602,99.6268,-8.6268,0.5652,0.6188,-0.0536
Boston Braves,BSN,NL,NA,Braves Field,1951,155,76,78,723,662,84.3135,-8.3135,0.4903,0.544,-0.0536
Toronto Blue Jays,TOR,AL,E,Rogers Centre,2005,162,80,82,775,705,88.6451,-8.6451,0.4938,0.5472,-0.0534
New York Mets,NYN,NL,E,Shea Stadium,1990,162,91,71,775,613,99.6537,-8.6537,0.5617,0.6151,-0.0534
Colorado Rockies,COL,NL,W,Coors Field,2014,162,66,96,755,818,74.5222,-8.5222,0.4074,0.46,-0.0526
Houston Astros,HOU,NL,C,Enron Field,2000,162,72,90,938,944,80.4835,-8.4835,0.4444,0.4968,-0.0524
Los Angeles Dodgers,LAN,NL,W,Dodger Stadium,1975,162,88,74,648,534,96.4804,-8.4804,0.5432,0.5956,-0.0523
California Angels,CAL,AL,W,Anaheim Stadium,1974,163,68,94,618,657,76.5188,-8.5188,0.4172,0.4694,-0.0523
Texas Rangers,TEX,AL,W,Arlington Stadium,1983,163,77,85,639,609,85.416,-8.416,0.4724,0.524,-0.0516
New York Mets,NYN,NL,E,Shea Stadium,1995,144,69,75,657,618,76.4006,-7.4006,0.4792,0.5306,-0.0514
Boston Red Sox,BOS,AL,E,Fenway Park II,2002,162,93,69,859,665,101.2932,-8.2932,0.5741,0.6253,-0.0512
Chicago Cubs,CHN,NL,C,Wrigley Field,2002,162,67,95,706,759,75.1469,-8.1469,0.4136,0.4639,-0.0503
New York Yankees,NYA,AL,E,Yankee Stadium II,1981,107,59,48,421,343,64.3114,-5.3114,0.5514,0.601,-0.0496
Chicago White Sox,CHA,AL,W,Comiskey Park,1981,106,54,52,476,423,59.2275,-5.2275,0.5094,0.5588,-0.0493
Chicago Cubs,CHN,NL,E,Wrigley Field,1983,162,71,91,701,719,78.9468,-7.9468,0.4383,0.4873,-0.0491
New York Mets,NYN,NL,NA,Polo Grounds IV,1962,161,40,120,617,948,47.9063,-7.9063,0.2484,0.2976,-0.0491
Houston Astros,HOU,NL,C,Minute Maid Park,2003,162,87,75,805,677,94.8883,-7.8883,0.537,0.5857,-0.0487
Montreal Expos,MON,NL,E,Stade Olympique,1978,162,76,86,633,611,83.8641,-7.8641,0.4691,0.5177,-0.0485
Chicago Cubs,CHN,NL,E,Wrigley Field,1972,156,85,70,685,567,92.5734,-7.5734,0.5449,0.5934,-0.0485
Philadelphia Phillies,PHI,NL,NA,Connie Mack Stadium,1954,154,75,79,659,614,82.437,-7.437,0.487,0.5353,-0.0483
San Francisco Giants,SFN,NL,W,Candlestick Park,1986,162,83,79,698,618,90.8118,-7.8118,0.5123,0.5606,-0.0482
Chicago White Sox,CHA,AL,NA,Comiskey Park,1956,154,85,69,776,634,92.3535,-7.3535,0.5519,0.5997,-0.0477
Los Angeles Dodgers,LAN,NL,NA,Dodger Stadium,1964,164,80,82,614,572,87.8005,-7.8005,0.4878,0.5354,-0.0476
Toronto Blue Jays,TOR,AL,E,Rogers Centre,2008,162,86,76,714,610,93.647,-7.647,0.5309,0.5781,-0.0472
Cleveland Indians,CLE,AL,E,Cleveland Stadium,1985,162,60,102,729,861,67.643,-7.643,0.3704,0.4175,-0.0472
San Diego Padres,SDN,NL,W,Jack Murphy Stadium,1994,117,47,70,479,531,52.4922,-5.4922,0.4017,0.4487,-0.0469
Atlanta Braves,ATL,NL,W,Atlanta-Fulton County Stadium,1973,162,76,85,799,774,83.574,-7.574,0.4691,0.5159,-0.0468
San Diego Padres,SDN,NL,W,Petco Park,2011,162,71,91,593,611,78.5786,-7.5786,0.4383,0.4851,-0.0468
Philadelphia Phillies,PHI,NL,NA,Connie Mack Stadium,1961,155,47,107,584,796,54.2374,-7.2374,0.3032,0.3499,-0.0467
Atlanta Braves,ATL,NL,NA,Atlanta-Fulton County Stadium,1966,163,85,77,782,683,92.4649,-7.4649,0.5215,0.5673,-0.0458
Philadelphia Phillies,PHI,NL,E,Veterans Stadium,1992,162,70,92,686,717,77.4223,-7.4223,0.4321,0.4779,-0.0458
Detroit Tigers,DET,AL,C,Comerica Park,2004,162,72,90,827,844,79.3521,-7.3521,0.4444,0.4898,-0.0454
Detroit Tigers,DET,AL,C,Comerica Park,2013,162,93,69,796,624,100.3388,-7.3388,0.5741,0.6194,-0.0453
Baltimore Orioles,BAL,AL,E,Memorial Stadium,1973,162,97,65,754,561,104.2751,-7.2751,0.5988,0.6437,-0.0449
Los Angeles Dodgers,LAN,NL,W,Dodger Stadium,1969,162,85,77,645,561,92.2291,-7.2291,0.5247,0.5693,-0.0446
New York Mets,NYN,NL,E,Shea Stadium,1977,162,64,98,587,663,71.1867,-7.1867,0.3951,0.4394,-0.0444
Chicago White Sox,CHA,AL,NA,Comiskey Park,1954,155,94,60,711,521,100.8489,-6.8489,0.6065,0.6506,-0.0442
Milwaukee Brewers,ML4,AL,C,County Stadium,1995,144,65,79,740,747,71.3221,-6.3221,0.4514,0.4953,-0.0439
Toronto Blue Jays,TOR,AL,E,Skydome,1990,162,86,76,767,661,92.9593,-6.9593,0.5309,0.5738,-0.043
Chicago White Sox,CHA,AL,NA,Comiskey Park,1966,163,83,79,574,517,89.9929,-6.9929,0.5092,0.5521,-0.0429
Cleveland Indians,CLE,AL,C,Jacobs Field,2009,162,65,97,773,865,71.9297,-6.9297,0.4012,0.444,-0.0428
Boston Red Sox,BOS,AL,E,Fenway Park II,2007,162,96,66,867,657,102.9069,-6.9069,0.5926,0.6352,-0.0426
Detroit Tigers,DET,AL,NA,Briggs Stadium,1952,156,50,104,557,738,56.6139,-6.6139,0.3205,0.3629,-0.0424
Milwaukee Braves,ML1,NL,NA,County Stadium,1963,163,84,78,677,603,90.892,-6.892,0.5153,0.5576,-0.0423
Los Angeles Dodgers,LAN,NL,W,Dodger Stadium,1981,110,63,47,450,356,67.6566,-4.6566,0.5727,0.6151,-0.0423
Pittsburgh Pirates,PIT,NL,E,Three Rivers Stadium,1975,161,92,69,712,565,98.7909,-6.7909,0.5714,0.6136,-0.0422
Cincinnati Reds,CIN,NL,W,Riverfront Stadium,1991,162,74,88,689,691,80.7652,-6.7652,0.4568,0.4986,-0.0418
Detroit Tigers,DET,AL,NA,Briggs Stadium,1958,154,77,77,659,606,83.4409,-6.4409,0.5,0.5418,-0.0418
